10.нояб..2023 12:23:30.908 [Croupier] INFO  r.m.h.FailBehaviour - Croupier: Auction was failed
10.нояб..2023 12:25:58.124 [SellerTwo] INFO  r.m.h.FunctionAgent - SellerTwo: I was born
10.нояб..2023 12:25:58.124 [Croupier] INFO  r.m.h.FunctionAgent - Croupier: I was born
10.нояб..2023 12:25:58.124 [SellerOne] INFO  r.m.h.FunctionAgent - SellerOne: I was born
10.нояб..2023 12:25:58.151 [Croupier] INFO  r.m.h.c.StartAuctionBehaviour - Auction was Started!
10.нояб..2023 12:25:58.152 [SellerOne] INFO  r.m.h.s.WaitForInvite - I'm understand!
10.нояб..2023 12:25:58.152 [SellerTwo] INFO  r.m.h.s.WaitForInvite - I'm understand!
10.нояб..2023 12:26:08.154 [Croupier] WARN  r.m.h.c.WaitForProposesBehaviour - Croupier: Absent need bet more 0
10.нояб..2023 12:26:08.155 [Croupier] INFO  r.m.h.FailBehaviour - Croupier: Auction was failed
10.нояб..2023 15:46:20.169 [SellerTwo] INFO  r.m.h.FunctionAgent - SellerTwo: I was born
10.нояб..2023 15:46:20.169 [SellerOne] INFO  r.m.h.FunctionAgent - SellerOne: I was born
10.нояб..2023 15:46:20.169 [Croupier] INFO  r.m.h.FunctionAgent - Croupier: I was born
10.нояб..2023 15:46:20.204 [Croupier] INFO  r.m.h.c.StartAuctionBehaviour - Auction was Started!
10.нояб..2023 15:46:20.213 [SellerOne] INFO  r.m.h.s.SendAnswerBehaviour - SellerOne: my Bet = -98
10.нояб..2023 15:46:20.216 [SellerTwo] INFO  r.m.h.s.SendAnswerBehaviour - SellerTwo: my Bet = 132
10.нояб..2023 15:46:20.228 [Croupier] INFO  r.m.h.c.WaitForProposesBehaviour - Croupier: Received all proposes, winner is SellerTwo
10.нояб..2023 15:46:20.239 [Croupier] INFO  r.m.h.c.SendContractBehaviour - Croupier: SellerTwo you win!
10.нояб..2023 15:46:20.240 [SellerTwo] WARN  r.m.h.s.WaitForContractBehaviour - SellerTwo: I'm ignore!
10.нояб..2023 15:46:20.241 [SellerOne] INFO  r.m.h.FailBehaviour - SellerOne: I was failed auction
10.нояб..2023 15:46:30.225 [Croupier] INFO  r.m.h.FailBehaviour - Croupier: Auction was failed!
10.нояб..2023 15:47:54.722 [SellerOne] INFO  r.m.h.FunctionAgent - SellerOne: I was born
10.нояб..2023 15:47:54.722 [Croupier] INFO  r.m.h.FunctionAgent - Croupier: I was born
10.нояб..2023 15:47:54.722 [SellerTwo] INFO  r.m.h.FunctionAgent - SellerTwo: I was born
10.нояб..2023 15:47:54.747 [Croupier] INFO  r.m.h.c.StartAuctionBehaviour - Auction was Started!
10.нояб..2023 15:47:54.748 [SellerTwo] INFO  r.m.h.s.WaitForInvite - SellerTwo: I dont wont proposes!
10.нояб..2023 15:47:54.748 [SellerOne] INFO  r.m.h.s.WaitForInvite - SellerOne: I dont wont proposes!
10.нояб..2023 15:48:04.751 [Croupier] WARN  r.m.h.c.WaitForProposesBehaviour - Croupier: Absent need bet more 0
10.нояб..2023 15:48:04.752 [Croupier] INFO  r.m.h.FailBehaviour - Croupier: Auction was failed
10.нояб..2023 15:48:04.758 [Croupier] INFO  r.m.h.FailBehaviour - Croupier: Auction was failed!
10.нояб..2023 15:48:09.745 [SellerTwo] INFO  r.m.h.FailBehaviour - SellerTwo: I was failed auction
